codigo,codigo_barras,nombre,familia,tipo_venta,precio_compra,precio_venta,id_iva,activo
AV0001,,ACAI LIOFILIZADO 70GR,ALIMENTACIÓN,UNIDAD,16.95,18.65,2,1
AV0002,,ACAI POLVO 50GR SALUD VIVA,ALIMENTACIÓN,UNIDAD,12.95,14.25,2,1
AV0003,,"ACEITE AOVE SIERRA YEGUAS 2,50L",ALIMENTACIÓN,UNIDAD,33.95,35.31,1,1
AV0004,,ACEITE AOVE SIERRA YEGUAS 5 LITROS,ALIMENTACIÓN,PESO,61.95,66.6,1,1
AV0005,,ACEITE AOVE SIERRA YEGUAS 500ML,ALIMENTACIÓN,UNIDAD,9.95,10.35,1,1
AV0006,,ACEITE COCO 200ML,ALIMENTACIÓN,UNIDAD,7.95,8.75,2,1
AV0007,,ACEITE COCO 400ML,ALIMENTACIÓN,UNIDAD,14.95,16.45,2,1
AV0008,,ACEITE LINAZA 250 ML,ALIMENTACIÓN,UNIDAD,5.95,6.55,2,1
AV0009,,ACEITE LINAZA 500 ML,ALIMENTACIÓN,UNIDAD,9.95,10.95,2,1
AV0010,,ACEITE SESAMO TOSTADO 500 ML,ALIMENTACIÓN,UNIDAD,15.55,17.11,2,1
AV0011,,ACEITUNAS ALOREÑAS 500 GR CRISTAL,ALIMENTACIÓN,UNIDAD,6.95,7.65,2,1
AV0012,,ACELGAS MANOJO MALAGA,ALIMENTACIÓN,UNIDAD,3.2,3.33,1,1
AV0013,,ACHICORIA SOLUBLE 100GR,ALIMENTACIÓN,UNIDAD,5.95,6.55,2,1
AV0014,,"AGUA ALCALINA IONIZADA 1,25L",ALIMENTACIÓN,UNIDAD,2.7,2.97,2,1
AV0015,,AGUA BEZOYA CAJA 8 LITROS,ALIMENTACIÓN,PESO,4.95,5.45,2,1
AV0016,,AJO BLANCO KG MALAGA,ALIMENTACIÓN,PESO,8.95,9.31,1,1
AV0017,,AJO NEGRO BOTE 60GR,ALIMENTACIÓN,UNIDAD,3.95,4.35,2,1
AV0018,,ALCACHOFA KG MALAGA,ALIMENTACIÓN,PESO,5.95,6.19,1,1
AV0019,,ALGA DULSE 25GR,ALIMENTACIÓN,UNIDAD,3.3,3.43,1,1
AV0020,,ALGA ENSALADA MAR 25GR,ALIMENTACIÓN,UNIDAD,2.95,3.07,1,1
AV0021,,ALGA KOMBU 25GR,ALIMENTACIÓN,UNIDAD,2.4,2.5,1,1
AV0022,,ALGA LECHUGA MAR 25GR,ALIMENTACIÓN,UNIDAD,2.5,2.5,4,1
AV0023,,ALGA NORI SUSHI 6 UNDS,ALIMENTACIÓN,UNIDAD,3.95,4.35,2,1
AV0024,,ALGA WAKAME 25 GR,ALIMENTACIÓN,UNIDAD,2.4,2.5,1,1
AV0025,,ALMENDRA CRUDA PELADA KG ESPAÑA,ALIMENTACIÓN,PESO,20.95,21.79,1,1
AV0026,,ALMENDRA CRUDA PIEL ESPAÑA KG,ALIMENTACIÓN,PESO,19.95,20.75,1,1
AV0027,,ALTRAMUCES AL NATURAL 270GR,ALIMENTACIÓN,UNIDAD,4.5,4.95,2,1
AV0028,,ALUBIA ADZUKI KG IMPORTACION,ALIMENTACIÓN,PESO,5.95,6.19,1,1
AV0029,,ALUBIAS BLANCAS COCIDAS 370ML,ALIMENTACIÓN,UNIDAD,2.2,2.42,2,1
AV0030,,ALUBIAS BLANCAS COCIDAS 720ML,ALIMENTACIÓN,UNIDAD,3.65,4.02,2,1
AV0031,,ALUBIAS BLANCAS VERDURAS 370ML,ALIMENTACIÓN,UNIDAD,3.2,3.52,2,1
AV0032,,ALUBIAS ROJAS COCIDAS 370GR,ALIMENTACIÓN,UNIDAD,2.4,2.64,2,1
AV0033,,ALUBIAS ROJAS COCIDAS 720ML,ALIMENTACIÓN,UNIDAD,3.95,4.35,2,1
AV0034,,ANACARDO KG VIETNAM,ALIMENTACIÓN,PESO,22.95,23.87,1,1
AV0035,,APIO MALAGA,ALIMENTACIÓN,UNIDAD,3.25,3.38,1,1
AV0036,,ARANDANO DESHIDRATADO 150 GR,ALIMENTACIÓN,UNIDAD,7.95,8.75,2,1
AV0037,,ARROZ BASMATI BLANCO KG INDIA,ALIMENTACIÓN,PESO,6.95,7.23,1,1
AV0038,,ARROZ BASMATI INTEGRAL KG INDIA,ALIMENTACIÓN,PESO,6.95,7.23,1,1
AV0039,,ARROZ REDONDO BLANCO KG HUELVA,ALIMENTACIÓN,PESO,5.95,6.19,1,1
AV0040,,ARROZ REDONDO INTEGRAL KG HUELVA,ALIMENTACIÓN,PESO,5.95,6.19,1,1
AV0041,,ARROZ ROJO INTEGRAL KG,ALIMENTACIÓN,PESO,7.95,8.27,1,1
AV0042,,AZUCAR COCO 400G,ALIMENTACIÓN,UNIDAD,5.95,6.55,2,1
AV0043,,BATATA KG MALAGA,ALIMENTACIÓN,PESO,2.95,3.07,1,1
AV0044,,BEBIDA ALMENDRAS SIN AZUCAR,ALIMENTACIÓN,UNIDAD,2.95,3.25,2,1
AV0045,,BERENJENA KG MALAGA,ALIMENTACIÓN,PESO,3.95,4.11,1,1
AV0046,,BIOCHOC AOVE 200 GR,ALIMENTACIÓN,UNIDAD,4.75,5.75,3,1
AV0047,,BIOCHOC AVELLANA 200 GR,ALIMENTACIÓN,UNIDAD,4.95,5.45,2,1
AV0048,,BIOGURT COCO NATURAL 400 GR,ALIMENTACIÓN,UNIDAD,4.55,5.01,2,1
AV0049,,BIZCOCHO COCO SIN AZUCAR,ALIMENTACIÓN,UNIDAD,3.95,4.35,2,1
AV0050,,"BOTELLA CRISTAL OM WATER MINI 0,5L CAÑAMO",ALIMENTACIÓN,UNIDAD,19.95,24.14,3,1
AV0051,,"BOTELLA CRISTAL OM WATER MINI 0,5L CAÑAMO/ALGODÓN",ALIMENTACIÓN,UNIDAD,19.95,24.14,3,1
AV0052,,BROCOLI KG MURCIA,ALIMENTACIÓN,PESO,4.95,5.15,1,1
AV0053,,CACAO TOSTADO POLVO 250gr,ALIMENTACIÓN,UNIDAD,9.95,10.95,2,1
AV0054,,CAFE GRANO MEXICO 250GR,ALIMENTACIÓN,UNIDAD,7.95,8.75,2,1
AV0055,,CAFE GRANO TOSTADO ARABICA 500 GR,ALIMENTACIÓN,UNIDAD,12.95,14.25,2,1
AV0056,,CAFE MOLIDO ARABICA 250GR,ALIMENTACIÓN,UNIDAD,5.95,6.55,2,1
AV0057,,CAFE MOLIDO COLOMBIA 250 GR,ALIMENTACIÓN,UNIDAD,8.95,9.85,2,1
AV0058,,CAFE MOLIDO DESCAFEINADO 250 GR,ALIMENTACIÓN,UNIDAD,8.95,9.85,2,1
AV0059,,CAFE MOLIDO DESTINATION ARABICA 250GR,ALIMENTACIÓN,UNIDAD,9.95,10.95,2,1
AV0060,,CAFE MOLIDO MEXICO 250GR,ALIMENTACIÓN,UNIDAD,8.95,9.85,2,1
AV0061,,CAFE MOLIDO PERU 250 GR,ALIMENTACIÓN,UNIDAD,6.95,7.23,1,1
AV0062,,CAFE SOLUBLE ARABICA 100GR,ALIMENTACIÓN,UNIDAD,13.95,15.35,2,1
AV0063,,CAFE SOLUBLE DESAYUNO 100GR,ALIMENTACIÓN,UNIDAD,9.95,10.95,2,1
AV0064,,CALABACIN VERDE KG MALAGA,ALIMENTACIÓN,PESO,3.95,4.11,1,1
AV0065,,CALABAZA CACAHUETE KG MALAGA,ALIMENTACIÓN,PESO,2.75,2.86,1,1
AV0066,,CALABAZA HOKAIDO MALAGA KG,ALIMENTACIÓN,PESO,3.95,4.11,1,1
AV0067,,CALDO HUESOS 870ML,ALIMENTACIÓN,UNIDAD,18.95,20.85,2,1
AV0068,,CALDO POLLO 1 LITRO,ALIMENTACIÓN,PESO,3.3,3.63,2,1
