codigo;nombre;familia;tipo_venta;precio_venta;precio_coste;activo;iva
AV0001;ACAI LIOFILIZADO 70GR;ALIMENTACIÓN;UNIDAD;15.41;0;1;10
AV0001;PROBANDO;ALIMENTACIÓN;UNIDAD;0;0;0;10
AV0002;ACAI POLVO 50GR SALUD VIVA;ALIMENTACIÓN;UNIDAD;11.77;0;1;10
AV0004;ACEITE AOVE SIERRA YEGUAS 5 LITROS;ALIMENTACIÓN;PESO;59.57;47;1;4
AV0005;ACEITE AOVE SIERRA YEGUAS 500ML;ALIMENTACIÓN;UNIDAD;9.57;0;1;4
AV0006;ACEITE COCO 200ML;ALIMENTACIÓN;UNIDAD;7.23;0;1;10
AV0007;ACEITE COCO 400ML;ALIMENTACIÓN;UNIDAD;13.59;0;1;10
AV0008;ACEITE LINAZA 250 ML;ALIMENTACIÓN;UNIDAD;5.41;0;0;10
AV0009;ACEITE LINAZA 500 ML;ALIMENTACIÓN;UNIDAD;9.05;0;1;10
AV0010;ACEITE SESAMO TOSTADO 500 ML;ALIMENTACIÓN;UNIDAD;14.14;0;1;10
AV0011;ACEITUNAS ALOREÑAS 500 GR CRISTAL;ALIMENTACIÓN;UNIDAD;6.32;0;1;10
AV0012;ACELGAS MANOJO MALAGA;ALIMENTACIÓN;UNIDAD;3.08;0;1;4
AV0013;ACHICORIA SOLUBLE 100GR;ALIMENTACIÓN;UNIDAD;5.41;0;1;10
AV0014;AGUA ALCALINA IONIZADA 1;25L;UNIDAD;0;0;0;10
AV0015;AGUA BEZOYA CAJA 8 LITROS;ALIMENTACIÓN;PESO;4.5;0;1;10
AV0016;AJO BLANCO KG MALAGA;ALIMENTACIÓN;PESO;8.61;0;1;4
AV0017;AJO NEGRO BOTE 60GR;ALIMENTACIÓN;UNIDAD;3.59;0;1;10
AV0018;ALCACHOFA KG MALAGA;ALIMENTACIÓN;PESO;5.72;0;1;4
AV0019;ALGA DULSE 25GR;ALIMENTACIÓN;UNIDAD;3.17;0;1;4
AV0020;ALGA ENSALADA MAR 25GR;ALIMENTACIÓN;UNIDAD;2.84;0;1;4
AV0021;ALGA KOMBU 25GR;ALIMENTACIÓN;UNIDAD;2.31;0;1;4
AV0022;ALGA LECHUGA MAR 25GR;ALIMENTACIÓN;UNIDAD;2.5;0;1;0
AV0023;ALGA NORI SUSHI 6 UNDS;ALIMENTACIÓN;UNIDAD;3.59;0;1;10
AV0024;ALGA WAKAME 25 GR;ALIMENTACIÓN;UNIDAD;2.31;0;1;4
AV0025;ALMENDRA CRUDA PELADA KG ESPAÑA;ALIMENTACIÓN;PESO;20.14;0;1;4
AV0026;ALMENDRA CRUDA PIEL ESPAÑA KG;ALIMENTACIÓN;PESO;19.18;0;1;4
AV0027;ALTRAMUCES AL NATURAL 270GR;ALIMENTACIÓN;UNIDAD;4.09;0;1;10
AV0028;ALUBIA ADZUKI KG IMPORTACION;ALIMENTACIÓN;PESO;5.72;0;1;4
